Ron_ohm,ODT_ohm,trace_length_mm,C_decap_nF,overshoot_pct,undershoot_pct,prop_delay_ps,eye_height_mV,SSN_mV,transition_pp_mV,setup_margin_ps,rise_time_ps,analysis_pass
28.0,80.0,15.0,220.0,0.0,22.5985,97.2138,289.2739,89.3981,266.6388,57.0449,42.1602,1
28.0,80.0,15.0,2200.0,0.0,22.5995,97.213,289.2857,89.3986,266.642,57.045,42.1601,1
28.0,80.0,15.0,47.0,0.0,22.5946,97.2173,289.2228,89.3963,266.6256,57.0447,42.1606,1
28.0,80.0,15.0,470.0,0.0,22.5991,97.2133,289.2813,89.3984,266.6407,57.0449,42.1601,1
28.0,80.0,15.0,4700.0,0.0,22.5996,97.213,289.2863,89.3986,266.6422,57.045,42.1601,1
28.0,80.0,15.0,680.0,0.0,22.5993,97.2132,289.2832,89.3984,266.6412,57.0449,42.1601,1
28.0,80.0,20.0,100.0,0.0,24.6055,124.4989,312.8531,118.4112,274.5492,54.8722,46.5055,0
28.0,80.0,20.0,1000.0,0.0,24.618,124.4881,312.9772,118.4119,274.5566,54.8695,46.511,0
28.0,80.0,20.0,220.0,0.0,24.6131,124.4924,312.9283,118.4116,274.5537,54.8706,46.5089,0
28.0,80.0,20.0,2200.0,0.0,24.6188,124.4875,312.9847,118.4119,274.557,54.8693,46.5114,0
28.0,80.0,20.0,47.0,0.0,24.5898,124.5125,312.6977,118.4103,274.5401,54.8757,46.4986,0
28.0,80.0,20.0,470.0,0.0,24.6165,124.4895,312.9616,118.4118,274.5556,54.8698,46.5103,0
28.0,80.0,20.0,4700.0,0.0,24.6191,124.4872,312.988,118.4119,274.5572,54.8692,46.5115,0
28.0,80.0,20.0,680.0,0.0,24.6174,124.4887,312.9707,118.4118,274.5562,54.8696,46.5107,0
28.0,80.0,25.0,100.0,0.0,26.2597,152.6928,343.303,104.7982,270.3176,53.8611,48.5278,0
28.0,80.0,25.0,1000.0,0.0,26.2665,152.6855,343.3737,104.7985,270.3249,53.8596,48.5307,0
28.0,80.0,25.0,220.0,0.0,26.2638,152.6884,343.3459,104.7984,270.322,53.8602,48.5296,0
28.0,80.0,25.0,2200.0,0.0,26.2669,152.685,343.378,104.7986,270.3253,53.8595,48.5309,0
28.0,80.0,25.0,47.0,0.0,26.2511,152.7021,343.2131,104.7978,270.3086,53.8629,48.5242,0
28.0,80.0,25.0,470.0,0.0,26.2657,152.6864,343.3649,104.7985,270.324,53.8598,48.5304,0
